 1968 4:05:06 PM,-6329.76,-1873.23,-1.15
 1968 4:09:16 AM,1206.04,-6418.19,-1.38
 1968 4:14:16 AM,-6098.51,2465.15,0.11
 1968 4:26:02 PM,1693.57,-6351.79,-0.97
 1968 4:31:34 PM,-5735.42,3255.34,-1.16
 1968 4:38:13 PM,6470.73,-1409.81,-1.31
 1968 4:41:26 PM,-6651.32,259.63,-1.36
 1968 4:45:20 PM,-6235.37,-2020.31,-1.27
 1968 4:49:19 AM,5684.84,3322.23,-0.77
 1968 4:58:32 AM,6562.54,-166.97,-0.84
 1968 5:03:22 AM,-847.73,6517.67,-1.25
 1968 5:09:16 PM,4083.43,-5163,-1.15
 1968 5:18:18 AM,5215.12,6381.27,0.14
 1968 5:21:07 PM,5176.79,4075.33,-0.84
 1968 5:23:59 PM,318,-6715.06,-1.24
 1968 5:25:05 PM,-6372.87,1409.01,-1.15
 1968 5:38:52 PM,-6625.31,-465.27,-1.2
 1968 5:46:04 PM,-5399.04,-3774.49,-1.15
 1968 6:08:25 PM,6459.54,1093.09,-1.23
 1968 6:11:34 PM,4341.58,4973.43,-1.27
 1968 6:13:55 PM,6588.42,385.55,-0.78
 1968 6:14:55 AM,6233.73,-2279.95,-1.35
 1968 6:28:07 PM,-6000.25,2598.02,-0.95
 1968 6:51:03 PM,321.5,6537.16,-0.78
 1968 6:52:10 PM,-6025.87,2507.26,-0.78
 1968 7:10:32 AM,-6001.69,-2736.91,-1.15
 1968 7:11:51 PM,912.92,6516.79,-0.85
 1968 7:16:17 PM,-2886.86,-5929.82,-1.13
 1968 7:23:22 PM,6553.95,-352.47,-8.14
 1968 7:25:41 AM,-652.15,6516.92,-0.95
 1968 7:43:52 PM,5642.2,-3388.89,-0.86
 1968 7:46:59 PM,334.34,6621.7,-0.85
 1968 7:47:22 PM,6250.49,2176.08,-1.35
 1968 7:49:34 PM,-5049.05,-4173.93,-1.14
 1968 7:53:58 PM,6573.72,84.88,-1.24
 1968 8:11:46 PM,-797.21,6604.03,-1.37
 1968 8:13:22 PM,3878.72,5379.34,-1.27
 1968 8:32:55 AM,4543.42,-4783.9,-1.14
 1968 8:40:53 AM,-3023.63,5857.21,-1.14
 1968 8:41:59 PM,1942.86,6236.74,-0.78
 1968 8:43:41 AM,-2904.47,-5895.91,-1.38
 1968 8:45:10 AM,-6308.72,1963.9,-1.14
 1968 8:47:17 PM,3709.61,-5679.64,-0.74
 1968 8:49:21 PM,947.33,-6574.9,-1.39
 1968 9:15:49 PM,-5280.54,4081.87,-1.21
 1968 9:19:22 AM,-5762.57,3444.99,0.11
 1968 9:44:59 PM,-6375.53,-1390.61,600.63
 1968 9:45:38 AM,4651.64,-4884.68,-1.35
 1968 9:52:41 AM,-6447,-1189.61,-1.25
 1968 9:53:46 AM,1905.07,6277.34,-1.39
 1968 9:58:45 AM,-3977.68,-5294.32,-1.36
 1969 1:18:41 AM,145.97,6552.91,-0.58
 1969 1:45:02 PM,327.84,5522.79,3518.46
 1969 10:14:39 PM,5468.52,-3614.53,-1.3
 1969 10:24:58 AM,-6631.36,-691.86,-1.24
 1969 10:39:34 AM,2134.92,-6274.67,-0.55
 1969 10:46:37 AM,-2955.69,5861.53,-1.3
 1969 10:58:42 AM,-544.33,-6547.14,-0.59
 1969 11:03:32 PM,5592.09,-3476.71,0.15
 1969 11:06:06 AM,-33.31,6882.38,-0.4
 1969 11:10:36 AM,3744.48,-5439.18,-1.14
 1969 11:25:42 AM,-4872.21,4599.77,-0.32
 1969 11:37:09 PM,-285.14,6590.76,-0.84
 1969 11:39:44 AM,-4038.51,5185.21,-1.37
 1969 11:48:08 PM,-2438.54,-6097.38,-1.14
 1969 12:00:00 AM,-127572.42,13228.36,69027.08
 1969 12:24:36 PM,1379.81,-6405.13,-1.24
 1969 12:30:04 PM,3010.43,-5981.06,-1.27
 1969 12:30:16 PM,6475.27,932.32,-0.6
 1969 12:34:11 PM,-6294.34,1961.14,-0.5
 1969 12:38:18 PM,-5957.59,2717.73,-0.42
 1969 12:41:04 AM,-1468.84,6388.45,-0.32
 1969 12:44:15 PM,1177.35,-6459.9,-1.36
 1969 12:50:19 AM,6060.16,-3298.76,-1.15
 1969 12:56:37 PM,4542.51,-4773.53,-1.15
 1969 2:25:44 AM,-873.51,6496.66,-1.29
 1969 2:26:26 AM,-2395.55,-6069.57,-0.77
 1969 2:29:53 AM,5797.07,3132.44,-1.13
 1969 2:41:47 AM,-4611.87,4712.29,-1.28
 1969 2:47:07 AM,853.21,6531.68,-1.15
 1969 2:48:13 AM,5186.95,4078.24,-0.63
 1969 2:59:22 PM,4255.85,5036.35,-0.77
 1969 3:00:52 PM,3540.77,-5500.53,-1.23
 1969 3:02:31 PM,6388.9,-1613.44,-1.14
 1969 3:07:35 PM,-3736.16,5434.16,-1.13
